country,iso3,who_region,date,total_confirmed_cases,total_probable_cases,new_confirmed_cases,new_probable_cases,new_susp,new_suspdeath,total_susp,total_suspdeath,clade1,clade2,clade1a,clade1b,clade_status,disp_status,total_deaths,new_deaths
Cameroon,CMR,African Region,07/08/2022,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2
Cameroon,CMR,African Region,14/08/2022,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,21/08/2022,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,28/08/2022,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,04/09/2022,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,11/09/2022,9,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,18/09/2022,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,25/09/2022,10,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,02/10/2022,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,09/10/2022,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,16/10/2022,12,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,23/10/2022,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,30/10/2022,16,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,06/11/2022,16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,13/11/2022,18,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,20/11/2022,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,27/11/2022,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,04/12/2022,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,11/12/2022,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,18/12/2022,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,25/12/2022,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,01/01/2023,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,08/01/2023,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,15/01/2023,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,22/01/2023,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,29/01/2023,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,05/02/2023,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,12/02/2023,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,19/02/2023,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,26/02/2023,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,05/03/2023,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,12/03/2023,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,19/03/2023,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,26/03/2023,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,02/04/2023,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,09/04/2023,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,16/04/2023,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,23/04/2023,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,30/04/2023,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,07/05/2023,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,14/05/2023,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,21/05/2023,30,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,28/05/2023,31,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,04/06/2023,32,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,11/06/2023,40,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,18/06/2023,40,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,25/06/2023,41,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,02/07/2023,41,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,09/07/2023,41,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,16/07/2023,42,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,23/07/2023,42,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,30/07/2023,43,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,06/08/2023,43,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,13/08/2023,43,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,20/08/2023,43,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,27/08/2023,43,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,03/09/2023,43,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,10/09/2023,44,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,17/09/2023,44,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,24/09/2023,44,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,01/10/2023,44,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,08/10/2023,45,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,15/10/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,22/10/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,29/10/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,05/11/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,12/11/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,19/11/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,26/11/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,03/12/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,10/12/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,17/12/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,24/12/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,31/12/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,07/01/2024,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
Cameroon,CMR,African Region,14/01/2024,47,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1
Cameroon,CMR,African Region,21/01/2024,47,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
Cameroon,CMR,African Region,28/01/2024,47,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
Cameroon,CMR,African Region,04/02/2024,47,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
Cameroon,CMR,African Region,11/02/2024,47,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
Cameroon,CMR,African Region,18/02/2024,47,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
Cameroon,CMR,African Region,25/02/2024,47,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
Cameroon,CMR,African Region,03/03/2024,47,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
Cameroon,CMR,African Region,10/03/2024,47,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
Cameroon,CMR,African Region,17/03/2024,47,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
Cameroon,CMR,African Region,24/03/2024,47,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
Cameroon,CMR,African Region,31/03/2024,47,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
Cameroon,CMR,African Region,07/04/2024,48,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
Cameroon,CMR,African Region,14/04/2024,50,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
Cameroon,CMR,African Region,21/04/2024,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,28/04/2024,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,05/05/2024,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,12/05/2024,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,19/05/2024,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,26/05/2024,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,02/06/2024,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,09/06/2024,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,16/06/2024,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,23/06/2024,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,30/06/2024,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,07/07/2024,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,14/07/2024,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,21/07/2024,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,28/07/2024,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,04/08/2024,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,11/08/2024,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,18/08/2024,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,25/08/2024,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,01/09/2024,51,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,08/09/2024,51,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,15/09/2024,51,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,22/09/2024,51,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,29/09/2024,51,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,06/10/2024,51,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,13/10/2024,51,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,20/10/2024,51,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,27/10/2024,51,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,03/11/2024,51,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,10/11/2024,51,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,17/11/2024,54,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,24/11/2024,54,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,01/12/2024,54,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,08/12/2024,54,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,15/12/2024,54,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,22/12/2024,54,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Cameroon,CMR,African Region,29/12/2024,54,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
Central African Republic,CAF,African Region,09/01/2022,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,16/01/2022,4,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,23/01/2022,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,30/01/2022,5,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,06/02/2022,6,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,13/02/2022,8,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,20/02/2022,12,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,27/02/2022,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,06/03/2022,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,13/03/2022,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,20/03/2022,16,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,27/03/2022,18,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,03/04/2022,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,10/04/2022,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,17/04/2022,19,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,24/04/2022,19,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,01/05/2022,19,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,08/05/2022,19,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,15/05/2022,19,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,22/05/2022,19,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,29/05/2022,19,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,05/06/2022,19,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,12/06/2022,19,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,19/06/2022,19,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,26/06/2022,19,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,03/07/2022,19,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,10/07/2022,19,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,17/07/2022,21,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,24/07/2022,21,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,31/07/2022,22,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,07/08/2022,22,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,14/08/2022,23,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,21/08/2022,23,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,28/08/2022,23,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,04/09/2022,23,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,11/09/2022,24,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,18/09/2022,24,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,25/09/2022,25,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,02/10/2022,25,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,09/10/2022,25,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,16/10/2022,28,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,23/10/2022,28,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,30/10/2022,28,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,06/11/2022,28,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,13/11/2022,28,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,20/11/2022,28,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,27/11/2022,28,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,04/12/2022,28,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,11/12/2022,29,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,18/12/2022,30,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,25/12/2022,30,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,01/01/2023,31,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,08/01/2023,33,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,15/01/2023,35,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,22/01/2023,35,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,29/01/2023,37,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,05/02/2023,37,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Central African Republic,CAF,African Region,12/02/2023,39,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Central African Republic,CAF,African Region,19/02/2023,41,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,26/02/2023,41,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,05/03/2023,41,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,12/03/2023,43,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,19/03/2023,43,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,26/03/2023,45,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,02/04/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,09/04/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,16/04/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,23/04/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,30/04/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,07/05/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,14/05/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,21/05/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,28/05/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,04/06/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,11/06/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,18/06/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,25/06/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,02/07/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,09/07/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,16/07/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,23/07/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,30/07/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,06/08/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,13/08/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,20/08/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,27/08/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,03/09/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,10/09/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,17/09/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,24/09/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,01/10/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
Central African Republic,CAF,African Region,08/10/2023,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
